label,official_nature,model,model_pred,model_conf,verdict,explanation
Tectake lot de 4 lits de camp noir,Matériel camping,camembert_logreg,Matelas + sommier,0.0474105800469784,nature,"Un « lit de camp » est un équipement de camping (lit pliant), donc la catégorie officielle Matériel camping est appropriée. Ce n'est pas un matelas ni un sommier traditionnel."
Hachoir moulinex xf 635 bb 1,Hachoir,camembert_logreg,Robot de cuisine,0.0560811066532148,nature,Le libellé contient explicitement «Hachoir» et désigne un petit hachoir Moulinex; «Robot de cuisine» est trop générique et moins précis pour cet article.
Giantex Armoire de Rangement Casier avec 6 Comparti Bibliothèque Meuble en Cube,Bibliotheque,camembert_logreg,Boite de rangement,0.1034701202244835,nature,"Le libellé décrit une armoire/casier à 6 compartiments «bibliothèque» et «meuble en cube», donc il s'agit d'une étagère/bibliothèque modulaire plutôt que d'une simple boîte de rangement."
Ensemble de meubles de rangement gustavo 3 + p 170 x 35 x 200 cm,Accessoire ch adulte,camembert_logreg,Buffet,0.0805267177471396,model,"Le libellé décrit un ensemble de meubles de rangement volumineux (170×35×200 cm) — il s'agit d'un meuble de rangement type buffet/élément de mobilier, pas d'un 'accessoire chambre adulte'."
Alpexe graveur externe usb 3 0 cd dvd rw lecteur rom pour pc ordinateur portable de bureau mac,Graveur,camembert_logreg,Pc bureau,0.1098679524689094,nature,"Il s'agit d'un graveur/lecteur CD‑DVD externe USB 3.0 (pour PC, portable, Mac) — la catégorie 'Graveur' correspond; 'Pc bureau' désigne un ordinateur, pas ce périphérique."
Cache radiateur ajustable en mdf blanc 4 tailles,Radiateur,camembert_logreg,Petit outillage,0.0161033411292146,both_wrong,"Il s'agit d'un cache radiateur en MDF (meuble/accessoire déco pour radiateur), ce n'est ni un radiateur (appareil de chauffage) ni du petit outillage."
Ménagère couvert,Menagere couvert,camembert_logreg,Bibliotheque,0.1083825311007879,nature,« Ménagère couvert » désigne un ensemble de couverts (service de table) : la catégorie officielle est cohérente ; « Bibliothèque » est sans rapport.
Transat a balancement automatique cuddle lamb,Transat bébé,camembert_logreg,Autre prep culinaire,0.0186218151515623,nature,"Le libellé décrit un transat pour bébé (balancement automatique, nom de modèle «cuddle lamb»), ce qui correspond à la nature officielle ; la prédiction culinaire est inappropriée."
Moule à farcement avec couvercle brez,Boites conservation,camembert_logreg,Ustensiles,0.0907915990617677,model,"Un « moule à farcement » est avant tout un ustensile de cuisson (moule), même s'il comporte un couvercle ; sa fonction principale est de préparer/cuire, pas de conserver des aliments."
Wd my passport go 1000 go usb type a 3 2 gen 1 3 1 gen 1 noir jaune,Disque dur,camembert_logreg,Access. PC Tablette,0.0772935600244984,nature,"Le libellé décrit clairement un disque dur externe WD My Passport (1000 Go, interface USB Type‑A), donc la catégorie officielle 'Disque dur' est la plus appropriée; la prédiction 'Access. PC Tablette' est trop générale et inexacte."
Environnement pour lit 90 cm,Elément de bureau,camembert_logreg,Lit jeune,0.0698329291432303,model,«Environnement pour lit 90 cm» évoque un ensemble/accessoires pour un lit simple (souvent jeune/enfant) ; cela correspond à «Lit jeune». «Élément de bureau» ne semble pas cohérent.
Famosa pinypon flying unicorn,Jeu éducatif,camembert_logreg,Papier peint,0.0417570737386018,nature,Famosa Pinypon « flying unicorn » est une figurine/jouet pour enfants : la catégorie 'Jeu éducatif' est plus plausible que 'Papier peint' (même si 'jouet' serait encore plus précis).
Tectake panier de basketball sur pied harlem,Jeux d'exterieur,camembert_logreg,Accessoire fitness,0.0839891351212026,nature,Un panier de basketball sur pied est un équipement de jeu/sport en extérieur — correspond bien à «Jeux d'exterieur» et pas à un simple accessoire fitness.
Paris prix aérateur de p te rouleau 17cm blanc gris,Ustensiles,camembert_logreg,Etagère,0.0244563994881076,nature,"Le libellé décrit un rouleau/aérateur de pâte (outil de cuisine 17 cm, blanc/gris) — correspond bien à la catégorie Ustensiles; 'Etagère' n'a pas de lien avec cet objet."
Peignoir mixte trench 420 gr m coton peigné blanc 2 m,Peignoir,camembert_logreg,Housse de couette,0.0469214360394021,nature,"Le libellé indique clairement un vêtement ('Peignoir', style 'trench', 'coton peigné', grammage 420 g/m²), donc la catégorie officielle Peignoir est correcte; Housse de couette est inappropriée."
Galaxy live bronze,Casque sans fil,camembert_logreg,Smartphone,0.1043722486334169,nature,"«Galaxy Live» correspond aux Galaxy Buds Live (écouteurs/casque sans fil) et «bronze» indique la couleur : il s'agit d'un casque sans fil, pas d'un smartphone."
Lot d rsquo accessoires pour oenologues 5 pièces coffret cadeau vin couleur marron,Objet deco,camembert_logreg,Ustensiles,0.0674532314819166,model,"Il s'agit d'un coffret d'accessoires pour œnologues (tire-bouchon, bouchon, verseur, etc.), des articles utilitaires pour le service du vin — correspond donc mieux à «Ustensiles» qu'à «Objet deco»."
Quam clé usb 16go mister wonderful licorne,Cle usb,camembert_logreg,Objet deco,0.0303720000798958,nature,Le libellé indique clairement 'clé usb 16go' — dispositif de stockage USB ; 'Mister Wonderful licorne' est un motif décoratif mais ne change pas la nature du produit.
Brennenstuhl eco line 10 way power extrention with switch black,Multiprise,camembert_logreg,Plaque de cuisson,0.0478608932078829,nature,Libellé décrit une multiprise/rallonge secteur 10 prises avec interrupteur (Brennenstuhl); une 'plaque de cuisson' n'a pas de lien avec cet appareil électrique.
