Libellé produit,Nature,knn_conformity_pred,knn_conformity_conf,ensemble_pred,ensemble_conf
Porte pantalon en métal,Accessoire dressing,Cintres,0.15,Portant,0.1656340746818021
Armoire lit escamotable kompact ouverture assistée coloris blanc mat couchage 90*200 cm ,Armoire lit,Lit adulte,0.65,Lit adulte,0.2773000955631678
Demi colonne,Colonne sdb,Objet deco,0.1,Colonne sdb,0.2110951249858759
Matelas palette réversible l 120 x l 80 x h 15 cm orange,Fauteuil,Tapis de Salon et Ch,0.2,Matelas,0.0894169774844642
Capital sports stream m1 rameur à résistance magnétique 105 cm aluminium,Rameur,Petit outillage,0.15,Rameur,0.1039519607484039
Ec 685 w machine expresso classique dedica style blanc,Cafetière filtre,Cuisiniere,0.1,Expresso,0.0748069454561462
Filtre charbon cr330 44x28cm à l unité hotte airlux 75x3654,Accessoire cuisson,Pièces détachées,0.4,Accessoire cuisson,0.2205799050193778
Miroir grossissant tripty3 lumineux triptyque yoghi,Miroir salle de bain,Lit jeune,0.15,Miroir,0.1065514634378811
Douchette pour lavabo avec crochet duo,Accessoire sdb,Robinet,0.25,Robinet,0.1690614983136507
Ensemble filtre moteur u47 pour aspirateur hoover,Pièces détachées,Accessoire aspi,0.4,Pièces détachées,0.5615180932950709
Veilleuse bébé lapin sans fil touch souple led multicolore dimmable bunny h19cm,Objets lumineux,Lit bébé,0.25,Lit bébé,0.1194431722679945
Plancha électrique de table en bambou cuisto xl 2000w 51 x 25 4 cm,Barbecue,Chevet,0.1,Barbecue,0.0795314848864338
Mp3 mp4 et mp5 superbe lecteur mp4 energy sistem 426461 touch bluetooth 1 8 8 gb noir ,Baladeur mp3/4,Amplificateur,0.25,Baladeur mp3/4,0.1231722462337684
Plat four à r tir rectangulaire en acier inoxydable avec anses 45cm,Set vaisselle,Parure de lit,0.25,Parure de lit,0.0726570159293359
Boite à marinade pour mise sous vide food saver,Ustensiles,Pièces détachées,0.2,Ustensiles,0.1080923447716097
Msi b450m pro m2 max noir,Carte mère,Accessoire ch adulte,0.1,Carte mère,0.0791747994168097
Sommier bultex gris confort ferme robusto 160x190,Sommier,Cadre à lattes,0.35,Sommier,0.4454322695044018
Polti sv220 balai vapeur multi usages 2 en 1 1300 w 320 ml bleu autonomie illimitée réglage vapeur toutes surfaces,Balai vapeur,Centrale vapeur,0.5,Centrale vapeur,0.1925546150523321
Couvercle inox 210 pour cuve 220 m m pour autocuiseur lagostina,Pièces détachées,Casserole,0.25,Pièces détachées,0.255553876196517
Table d appoint pliable design zoé l 53 x h 66 cm noir,Table basse,Table,0.45,Table,0.4375471967621674
Tomy tracteur build a johnny john deere,Jeu de construction,Parure de lit,0.15,Housse de coussin,0.0417877806528247
Meuble à chaussures entrée rangement blanc helloshop26 12_0000716,Boite de rangement,Meuble à chaussures,0.85,Meuble à chaussures,0.5693509734868322
Toile de toscane rideau 100 coton chocolat 150x250,Rideau,Sommier,0.2,Rideau,0.254073720670181
Coussin dehoussable gaze de coton chantilly 40 cm,Housse de coussin,Taie d'oreiller,0.4,Housse de coussin,0.4692870660443557
Couvre lit motifs carrés 160 x 220 cm lin atmosphera,Dessus de lit,Tapis de Salon et Ch,0.2,Dessus de lit,0.1700225070794984
Taie d oreiller rouge 63 x 63 cm,Housse de coussin,Taie d'oreiller,0.75,Taie d'oreiller,0.5817962739543442
So slime diy canal toys loisir créatif slime factory gar on jouet ssc 011 vert bleu,Jeu éducatif,Pièces détachées,0.1,Jeu éducatif,0.045939110828391
Boite de rangement à zipper 52x35cm,Boite de rangement,Tapis de Salon et Ch,0.5,Boite de rangement,0.3697102125208681
Distributeur de cotons tiges bambou beauty 9cm transparent,Accessoire sdb,Tapis de Salon et Ch,0.3,Tapis de Salon et Ch,0.0879023303893644
Neverstop mfp 1202nw,Imprimante,Sommier,0.2,Ecran PC,0.0689180258811414
Bac multi usages composteur acier galvanisé 100 litres,Composteur,Congelateur,0.75,Congelateur,0.2088903944998612
Tapis extérieur 120x180 cm dolly canard,Tapis d'extérieur,Tapis de Salon et Ch,0.35,Tapis de Salon et Ch,0.328125379601147
Pose ensemble salle de bain Ensemble de salle de bain complet,Pose Ensemble Salle de bain,Robinet,0.25,Ensemble sdb,0.1872295350985116
Sommier electrique bultex pop art sigma 2x80x200,Sommier,Matelas,0.35,Sommier,0.3113945430172768
Plaid en flanelle à plumes reliefées 125 x 150 cm,Plaid,Sommier,0.55,Plaid,0.5651464012325075
Armoire 1 porte hauteur 188 cm blanche,Armoire,Meuble haut cuisine,0.25,Armoire,0.1512461684772711
Peluche t choupi calin 25 cm,Poupée et poupon,Parure de lit,0.4,Peluche,0.2757103375235623
Canapé de relaxation 3 places en microfibre simili léon couleur gris noir,Friteuse,Canape droit,0.6,Canape droit,0.6231645152614573
Klarstein elizabeth four encastrable 6 fonctions 2200w nettoyage facile classe a design rétro crème,Four,Poubelle cuisine,0.2,Four,0.1897577451235326
Paris prix lot de 4 chaises de bar velours yan 100cm noir,Tabouret,Chaise,0.65,Chaise,0.6012457098510242
Excavatrice avec roues,Porteur et bascule,Bureau,0.2,Petit outillage,0.0980896896008706
Table salle a manger icub strong eco 80x120x75 cm noir effect vintage,Table,Plaque de cuisson,0.2,Table,0.5013645599187379
Table industrielle vintage kaliste ch ne,Table,Table basse,0.55,Table basse,0.3776825546632891
Fauteuil chaise à bascule avec repose mollets réglable gris ,Fauteuil relax,Fauteuil,0.35,Fauteuil,0.3851613006235788
Lampe de bureau élégante lampe de table stylée liseuse avec cristaux synthétiques e14 métal hauteur 40 cm noir lux pro ,Lampe,Lampadaire,0.4,Lampe,0.4354246499668849
Ensemble table scandinave ronde noire et 4 chaises scandinave blanches hombuy style eiffel salle à manger restaurant café ,Table,Ens table chaises,0.5,Table,0.4540690083499813
Ciel de lit demoiselle atmosphera,Objet deco,Tabouret,0.2,Objet deco,0.0814010760587747
Porte serviette design métal lirio l 20 x h 76 cm noir,Porte serviette,Porte manteau,0.25,Porte serviette,0.1819211913575353
Hecht set avec 3 haches merlin à fendre couperet hachette 40 40 85 cm longue noyau en fibre de verre nr 2,Petit outillage,Housse de couette,0.65,Housse de couette,0.1864258772807084
