Libellé produit,Nature,camembert_logreg_pred,camembert_logreg_conf,ensemble_pred,ensemble_conf,knn_conformity_pred,knn_conformity_conf,sent_emb_logreg_pred,sent_emb_logreg_conf,tfidf_logreg_cleanlab_pred,tfidf_logreg_cleanlab_conf
Dodo couette tempérée country 240 x 260 cm blanc,Accessoire ch adulte,Housse de couette,0.3366699399571055,Couette,0.3020856066313528,Accessoire ch adulte,0.35,Couette,0.2596376728451341,Couette,0.4322247794320133
Table basse de salon stylée table d appoint avec espace de rangement stockage mdf 61 3 x 60 x 30 cm marron foncé en casa ,Table,Table basse,0.4973935686353617,Table basse,0.5167552305077556,Table,0.4,Table basse,0.6802824086291432,Table basse,0.4893449447665177
Design metal lit double 160 x 200 cadre de lit lattes bois neuf noir naturel,Lit jeune,Lit adulte,0.8328757204605431,Lit adulte,0.6847697621275829,Lit jeune,0.55,Lit adulte,0.8852278743304779,Lit adulte,0.6209754537193104
Poches tracteur bleu lilokids pour lit surélevé évolutif lit surélevé ludique et lits superposés,Accessoire ch enfant,Lit jeune,0.2620937036984845,Lit jeune,0.2654149960236949,Accessoire ch enfant,0.25,Lit jeune,0.2117656246693604,Lit jeune,0.3378006557269348
Parure de lit knavy avec housse de couette et taie s d oreiller imprime 220 x 240 cm les ateliers du linge,Dessus de lit,Housse de couette,0.6177329013882966,Housse de couette,0.3709024348318862,Dessus de lit,0.4,Housse de couette,0.3431332753561197,Housse de couette,0.5227435625831284
Parure de lit 3 pieces 240 x 220 cm imprime 42 fils dessin place eden flower,Parure de lit,Housse de couette,0.3086782688227326,Housse de couette,0.379904227708951,Parure de lit,0.5,Housse de couette,0.3857559715808025,Housse de couette,0.4751826704322691
Table pliante d appoint portable pour camping ou réception 180 cm,Ens table chaises,Table,0.5305436234064844,Table,0.2441581498986989,Ens table chaises,0.35,Matériel camping,0.5224951795332656,Table,0.2942137214601478
Ensemble bultex clearness 80x200 cm matelas mousse et sommier tapissier,Meuble à chaussures,Matelas + sommier,0.5966675308123814,Matelas + sommier,0.5843803348015135,Meuble à chaussures,0.35,Matelas + sommier,0.9291474141600962,Matelas + sommier,0.611706394233576
Paris prix vitrine led design neo 190cm noir brillant,Buffet,Vitrine,0.0644925331833454,Vitrine,0.1205850025310244,Buffet,0.2,Tapis de Salon et Ch,0.0479463901110995,Vitrine,0.4010007387344484
Tapis design et moderne 80x150 cm rectangulaire harle gris entrée adapté au chauffage par le sol,Carpette,Tapis de Salon et Ch,0.7114101694880863,Tapis de Salon et Ch,0.5431258394663446,Carpette,0.55,Tapis de Salon et Ch,0.5682123968961127,Tapis de Salon et Ch,0.4428807914811796
