label,official_nature,model,model_pred,verdict,explanation
Porteur enfants voiture 12 36 mois coffre klaxon blanc,Porteur et bascule,ensemble,Lit jeune,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Fauteuil relax ignifuger inclinable marron pu bois,Fauteuil,ensemble,Fauteuil relax,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Matelas ferme mi ferme 2en1 90x200,Meuble à chaussures,ensemble,Matelas,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Relax fauteuil de relaxation manuel simili noir classique l 76 x p 88 cm,Pouf / repose pied,ensemble,Fauteuil,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Canapé d angle réversible en tissu gabby 3 places rouge,Friteuse,ensemble,Canapé d'angle,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Porte torchon extensible spécial placard,Portant,ensemble,Porte manteau,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Rasoir homme alimentation secteur,Rasoir homme,ensemble,Buffet de cuisine,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Lit une place et demie avec conteneur mozart beige tissu effet vintage,Matelas + sommier,ensemble,Pouf / repose pied,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Boite a souvenirs mini armoire de rangement première fois rose il était une fois,Accessoire bureau,ensemble,Boite de rangement,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Lit mezzanine alora 90 x 190 cm blanc,Lit adulte,ensemble,Lit jeune,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
