label,official_nature,model,model_pred,model_conf,verdict,explanation
Carafe isothèrme 1L,Ustensiles,knn_conformity,Chevet,0.1,nature,Une carafe isotherme est un ustensile de service de boisson/cuisine ; la catégorie 'Chevet' (table de nuit) n'est pas adaptée.
Tectake penderie 112 cm x 207 cm x 57 cm,Penderie,knn_conformity,Fauteuil,0.1,nature,Le libellé contient explicitement « penderie » et des dimensions typiques d'une armoire/placard ; la prédiction « Fauteuil » est inadaptée.
Taie traversin coton percale anthracite,Housse de coussin,knn_conformity,Chaise,0.1,nature,"«Taie traversin» est une housse pour traversin/oreiller (matière percale coton, couleur anthracite) — ce n’est pas une chaise, donc la catégorie officielle est correcte."
Planche à repasser leifheit,Jeu d'imitation,knn_conformity,Expresso,0.1,both_wrong,"Il s'agit d'une planche à repasser de la marque Leifheit (article ménager). Ce n'est pas un 'expresso' et, sauf mention explicite 'jouet' ou 'pour enfants', 'Jeu d'imitation' ne convient pas non plus."
Tableau cadre scandinave citation oscar wilde folie 34 x 44cm,Toile et laminage,knn_conformity,Chevet,0.2,nature,Libellé indique un tableau/cadre scandinave (toile/affiche 34×44 cm) — correspond bien à 'Toile et laminage'. 'Chevet' (table de nuit) est incohérent.
 tagères 3 niveaux ch ne authentique blanc avec poignée,Objet deco,knn_conformity,Commode,0.2,nature,Le produit décrit des étagères 3 niveaux (meuble de rangement/étagère) et non une commode; la catégorie 'Objet deco' est donc plus plausible que 'Commode'.
Brio 33028 circuit en 8 tradition,Jouet véhicule,knn_conformity,Bouilloire,0.2,nature,Brio est une marque de trains/jouets en bois ; «circuit en 8» désigne un circuit de train jouet — correspond bien à 'Jouet véhicule'. 'Bouilloire' est incohérent.
Verbatim disque dur portable usb store n go 3 0 1 to noir 1000 go 3 2 gen 1 3 1 gen 1 5400 tr min noir,Disque dur,knn_conformity,Chaine audio,0.2,nature,"Le libellé contient explicitement «disque dur portable», capacité 1 To, interface USB 3.0 et 5400 tr/min — caractéristiques d'un disque de stockage, pas d'une chaîne audio."
Bellecour oreiller fibres creuses luxotel,Oreiller,knn_conformity,Housse de couette,0.15,nature,"Le libellé contient explicitement « oreiller » et décrit le remplissage (« fibres creuses »), il s'agit d'un oreiller et non d'une housse de couette."
Vasagle meuble de rangement placard armoire avec 1 tiroir et étagères portes à persiennes style industriel marron rustique ,Buffet,knn_conformity,Vestiaire,0.2,nature,"Description = meuble de rangement/armoire avec tiroir et étagères et portes à persiennes — correspond à un buffet/armoire de rangement. Un «vestiaire» désigne typiquement un meuble pour suspendre manteaux/équipements en entrée, ce qui n'est pas indiqué."
Base pour siège auto Cybex Aton Base 2,Siège auto,knn_conformity,Centrale vapeur,0.15,nature,"Le libellé indique clairement une « base pour siège auto Cybex Aton Base 2 », accessoire dédié aux sièges auto ; la catégorie 'Centrale vapeur' est manifestement inappropriée."
Pascal bureau contemporain laqué blanc + pieds en acier laqué noir l 100 cm,Bureau,knn_conformity,Sommier,0.15,nature,"Le libellé contient explicitement 'bureau contemporain' avec pieds en acier et dimensions L 100 cm — il s'agit d'un bureau, pas d'un sommier (élément de literie)."
Micro machines world series ps4,Jeux vidéo,knn_conformity,Autre prep culinaire,0.15,nature,"Intitulé clairement d’un jeu PS4 («Micro Machines World Series»), correspond à la catégorie 'Jeux vidéo'. La prédiction culinaire est incompatible."
Canapé d angle curcuma 118x193 cm noir éco brun moderne,Canapé d'angle,knn_conformity,Miroir,0.2,nature,Le libellé contient explicitement 'Canapé d angle' avec dimensions et caractéristiques de siège; la prédiction 'Miroir' est incompatible.
Serviette harry potter luna lovegood,Accessoire sdb,knn_conformity,Housse de couette,0.2,nature,Une «serviette» est un accessoire de salle de bain (linge de toilette). La prédiction «housse de couette» ne correspond pas au type de produit.
Lot de 2 tiroirs,Accessoire ch enfant,knn_conformity,Chevet,0.2,nature,"«Lot de 2 tiroirs» décrit des éléments détachés/accessoires (tiroirs) plutôt qu’un meuble complet; rien n’indique un chevet, donc la nature officielle (accessoire chambre enfant) est plus plausible."
Geb collafeu colle produits réfractaires 50 ml,Outil multifonction,knn_conformity,Parure de lit,0.2,nature,"«Geb collafeu colle produits réfractaires 50 ml» est une colle/adhésif pour matériaux réfractaires — ce n’est pas une parure de lit. Même si «Outil multifonction» n’est pas parfait, c’est beaucoup plus plausible que la prédiction."
Nappe de table ronde 180cm atolls anis toucher soft,Decoration de table,knn_conformity,Matelas,0.15,nature,"Le libellé désigne clairement une nappe de table ronde (180 cm, toucher soft), donc la catégorie 'Decoration de table' est pertinente ; 'Matelas' est incorrect."
